n,w,time,res
0,25,72,0
2,25,102,16
4,25,150,33
6,25,235,45
8,25,434,59
10,25,471,59
12,25,880,62
14,25,1138,76
16,25,1469,76
18,25,1921,76
20,25,9486,76
22,25,4696,91
24,25,4453,91
26,25,5761,91
28,25,8332,91
30,25,8210,91
32,25,9248,91
34,25,10896,91
36,25,11836,91
38,25,16029,100
40,25,36141,100
42,25,21548,118
44,25,21588,118
46,25,77004,118
48,25,31090,118
50,25,56295,118
52,25,52363,118
54,25,75115,119
56,25,71987,119
58,25,76347,119
60,25,89593,119
62,25,131638,129
64,25,184163,147
66,25,335150,147
68,25,992607,153
70,25,896737,153
72,25,609787,153
74,25,905548,153
76,25,845826,153
78,25,2004249,153
80,25,1659258,155
82,25,2596469,155
84,25,2597025,172
86,25,3392528,180
88,25,3047491,186
90,25,3061836,186
92,25,3196825,186
94,25,3377010,186
96,25,4317567,186
98,25,4177087,186
