n,w,time,res
0,25,79,0
2,25,105,16
4,25,258,33
6,25,588,45
8,25,1096,59
10,25,2095,59
12,25,4547,62
14,25,9055,76
16,25,38441,76
18,25,24013,76
20,25,28927,76
22,25,46676,91
24,25,50022,91
26,25,98276,91
28,25,135689,91
30,25,139371,91
32,25,162303,91
34,25,219355,91
36,25,918551,91
38,25,315406,100
40,25,1144372,100
42,25,1274607,118
44,25,1306936,118
46,25,2597255,118
48,25,2169282,118
50,25,2976127,118
52,25,1786171,118
54,25,2933237,119
56,25,6237824,119
58,25,6378619,119
60,25,7754802,119
62,25,20369791,129
64,25,24866228,147
66,25,25940735,147
68,25,101344311,153
70,25,42772546,153
72,25,69172012,153
74,25,123560748,153
76,25,126345002,153
78,25,136729680,153
80,25,196449758,155
82,25,261403947,155
84,25,590455491,172
86,25,673747213,180
88,25,670607187,186
90,25,720316708,186
92,25,738395406,186
94,25,758963680,186
96,25,1570423020,186
98,25,923825405,186
