n,w,time,res
0,10000,59,0
1,10000,64,1316
2,10000,92,5903
3,10000,104,5903
4,10000,139,12692
5,10000,210,17452
6,10000,226,17452
7,10000,307,17452
8,10000,423,22750
9,10000,444,22750
10,10000,472,22750
11,10000,824,25466
12,10000,1004,25466
13,10000,1017,25466
14,10000,1409,32006
15,10000,1847,32150
16,10000,1994,32150
17,10000,2328,32150
18,10000,2462,32150
19,10000,2625,32150
20,10000,2763,32150
21,10000,4934,36781
22,10000,4854,36781
23,10000,4496,36781
24,10000,52509,36781
25,10000,6512,36781
26,10000,6565,36781
27,10000,8690,36884
28,10000,9972,36884
29,10000,9084,38746
30,10000,9085,38746
31,10000,9415,38746
32,10000,11342,38746
33,10000,10882,38746
34,10000,58158,38746
35,10000,13809,38746
36,10000,15473,38746
37,10000,19521,43273
38,10000,20000,43273
39,10000,21702,43273
40,10000,20900,43273
41,10000,20923,43273
42,10000,169966,48543
43,10000,24986,48543
44,10000,26541,48543
45,10000,25866,48543
46,10000,29548,48857
47,10000,33395,48857
48,10000,64688,48857
49,10000,142041,48857
50,10000,241372,48857
51,10000,49704,48857
52,10000,59972,48857
53,10000,192693,51510
54,10000,229645,51510
55,10000,84223,51510
56,10000,104518,51510
57,10000,88123,51510
58,10000,93633,51510
59,10000,107219,51510
60,10000,115404,51510
61,10000,209325,54256
62,10000,173579,58399
63,10000,200818,62752
64,10000,169994,62752
65,10000,219993,62752
66,10000,224021,62752
67,10000,555568,63849
68,10000,644406,63849
69,10000,357276,63849
70,10000,356388,63849
71,10000,358828,63849
72,10000,374526,63849
73,10000,424421,63849
74,10000,825349,66076
75,10000,1126821,66076
76,10000,644624,66076
77,10000,783947,66076
78,10000,838460,66076
79,10000,1080410,69618
80,10000,1128176,69618
81,10000,1328852,69618
82,10000,1513686,69618
83,10000,1626415,75957
84,10000,1577326,75957
85,10000,1649022,75957
86,10000,2514803,80637
87,10000,2590202,80637
88,10000,3451670,82751
89,10000,3759004,82751
90,10000,3747883,82751
91,10000,4019778,82751
92,10000,4001643,82751
93,10000,4216216,82751
94,10000,4257581,82751
95,10000,4510840,82751
96,10000,4951329,82751
97,10000,4658279,82751
98,10000,5196057,82751
99,10000,4696847,82751
