n,BT,DP
0,59,22727
1,64,231651
2,92,221051
3,104,378138
4,139,661909
5,210,619037
6,226,527077
7,307,633521
8,423,716637
9,444,717635
10,472,806187
11,824,873411
12,1004,1760781
13,1017,3380277
14,1409,1611765
15,1847,1218674
16,1994,1318345
17,2328,1426287
18,2462,1540143
19,2625,1546705
20,2763,1550019
21,4934,1684331
22,4854,1839091
23,4496,1808283
24,52509,1850275
25,6512,1961786
26,6565,2123806
27,8690,2189275
28,9972,2198936
29,9084,2215779
30,9085,2602126
31,9415,2404346
32,11342,2421122
33,10882,2540302
34,58158,2653410
35,13809,2604585
36,15473,2781679
37,19521,2915707
38,20000,2962498
39,21702,3192978
40,20900,2953795
41,20923,3100926
42,169966,3375649
43,24986,3546183
44,26541,3501835
45,25866,3482148
46,29548,3503545
47,33395,3655872
48,64688,3636486
49,142041,4056010
50,241372,3792561
51,49704,3968073
52,59972,3997755
53,192693,4065305
54,229645,4238942
55,84223,4241687
56,104518,4253090
57,88123,4567202
58,93633,4476531
59,107219,4868346
60,115404,4610420
61,209325,4674381
62,173579,4818446
63,200818,5289724
64,169994,5139282
65,219993,5074125
66,224021,5230778
67,555568,5345715
68,644406,5354918
69,357276,5352922
70,356388,8809630
71,358828,5520879
72,374526,5795672
73,424421,5674772
74,825349,6353368
75,1126821,6039520
76,644624,6098673
77,783947,6350364
78,838460,6203720
79,1080410,6196228
80,1128176,6464849
81,1328852,6626418
82,1513686,6489942
83,1626415,7081599
84,1577326,6608830
85,1649022,6669608
86,2514803,7414274
87,2590202,7017401
88,3451670,7039692
89,3759004,7241001
90,3747883,7340963
91,4019778,7273542
92,4001643,7432568
93,4216216,7645523
94,4257581,7572801
95,4510840,7679958
96,4951329,7629387
97,4658279,7877440
98,5196057,7762681
99,4696847,8048469
