n,w,time,res
0,100,176,0
1,100,1215,14
2,100,1973,60
3,100,2749,60
4,100,4393,128
5,100,4527,176
6,100,5406,176
7,100,24173,176
8,100,7108,229
9,100,9454,229
10,100,8824,229
11,100,9961,256
12,100,10391,256
13,100,11052,256
14,100,12363,295
15,100,11460,295
16,100,12265,295
17,100,12854,295
18,100,13535,295
19,100,78352,295
20,100,14947,295
21,100,15832,371
22,100,16236,371
23,100,20730,371
24,100,17550,371
25,100,18763,371
26,100,20642,371
27,100,21106,372
28,100,182336,372
29,100,21646,390
30,100,22058,390
31,100,23154,390
32,100,24441,390
33,100,65063,390
34,100,25178,390
35,100,25142,390
36,100,26676,390
37,100,27269,420
38,100,27680,420
39,100,28189,420
40,100,30290,420
41,100,96610,420
42,100,244967,475
43,100,33623,475
44,100,33545,475
45,100,33867,475
46,100,34749,478
47,100,36819,478
48,100,36943,478
49,100,182438,478
50,100,38054,478
51,100,121227,478
52,100,39291,478
53,100,40704,519
54,100,40746,519
55,100,42754,519
56,100,48263,519
57,100,55134,519
58,100,46646,519
59,100,46952,519
60,100,46158,519
61,100,50510,519
62,100,106164,561
63,100,50168,632
64,100,48060,632
65,100,50430,632
66,100,54604,632
67,100,57988,643
68,100,57453,643
69,100,53813,643
70,100,53854,643
71,100,54227,643
72,100,58654,643
73,100,69606,643
74,100,68037,666
75,100,73832,666
76,100,76756,666
77,100,67784,666
78,100,62345,666
79,100,71739,675
80,100,60386,675
81,100,63570,675
82,100,65086,675
83,100,65938,765
84,100,73616,765
85,100,66951,765
86,100,67609,797
87,100,68631,797
88,100,69633,797
89,100,71955,797
90,100,70210,797
91,100,73732,797
92,100,75714,797
93,100,74256,797
94,100,73215,797
95,100,73158,797
96,100,77145,797
97,100,76872,797
98,100,71436,797
99,100,82502,797
