n,w,time,res
0,1,57,0
1,1,64,1
2,1,70,1
3,1,75,1
4,1,80,1
5,1,86,1
6,1,92,1
7,1,98,1
8,1,103,1
9,1,109,1
10,1,114,1
11,1,120,1
12,1,126,1
13,1,131,1
14,1,137,1
15,1,143,1
16,1,148,1
17,1,156,1
18,1,158,1
19,1,164,1
20,1,168,1
21,1,173,1
22,1,179,1
23,1,184,1
24,1,189,1
25,1,194,1
26,1,199,1
27,1,205,1
28,1,210,1
29,1,215,1
30,1,221,1
31,1,224,1
32,1,231,1
33,1,235,1
34,1,240,1
35,1,246,1
36,1,251,1
37,1,257,1
38,1,261,1
39,1,267,1
40,1,273,1
41,1,277,1
42,1,324,1
43,1,330,1
44,1,336,1
45,1,324,1
46,1,329,1
47,1,334,1
48,1,341,1
49,1,346,1
50,1,353,1
51,1,358,1
52,1,364,1
53,1,370,1
54,1,375,1
55,1,381,1
56,1,388,1
57,1,392,1
58,1,397,1
59,1,403,1
60,1,408,1
61,1,415,1
62,1,421,1
63,1,426,1
64,1,432,1
65,1,438,1
66,1,444,1
67,1,450,1
68,1,457,1
69,1,462,1
70,1,740,1
71,1,502,1
72,1,458,1
73,1,463,1
74,1,469,1
75,1,475,1
76,1,480,1
77,1,486,1
78,1,492,1
79,1,496,1
80,1,502,1
81,1,505,1
82,1,512,1
83,1,518,1
84,1,522,1
85,1,530,1
86,1,535,1
87,1,538,1
88,1,546,1
89,1,550,1
90,1,872,1
91,1,561,1
92,1,567,1
93,1,571,1
94,1,577,1
95,1,582,1
96,1,591,1
97,1,593,1
98,1,598,1
99,1,604,1
0,2,57,0
1,2,62,1
2,2,69,1
3,2,77,1
4,2,104,3
5,2,110,3
6,2,121,4
7,2,128,4
8,2,172,4
9,2,177,4
10,2,198,4
11,2,251,4
12,2,253,4
13,2,261,4
14,2,318,4
15,2,382,4
16,2,386,4
17,2,461,4
18,2,462,4
19,2,469,4
20,2,471,4
21,2,544,4
22,2,562,4
23,2,676,4
24,2,669,4
25,2,746,4
26,2,742,4
27,2,853,4
28,2,977,4
29,2,1102,4
30,2,1108,4
31,2,1116,4
32,2,1122,4
33,2,1126,4
34,2,1170,4
35,2,1174,4
36,2,1181,4
37,2,1303,4
38,2,1323,4
39,2,1331,4
40,2,1337,4
41,2,1367,4
42,2,1522,4
43,2,1511,4
44,2,1517,4
45,2,1522,4
46,2,1721,4
47,2,1866,4
48,2,1843,4
49,2,1966,4
50,2,2427,4
51,2,2133,4
52,2,2300,4
53,2,2463,4
54,2,2466,4
55,2,2473,4
56,2,2486,4
57,2,2478,4
58,2,2478,4
59,2,2678,4
60,2,2956,4
61,2,3908,4
62,2,3979,4
63,2,4255,4
64,2,4460,4
65,2,3991,4
66,2,136019,4
67,2,3712,4
68,2,3937,4
69,2,4209,4
70,2,4209,4
71,2,4241,4
72,2,4643,4
73,2,4253,4
74,2,4480,4
75,2,4823,4
76,2,5079,4
77,2,5336,4
78,2,5638,4
79,2,5891,4
80,2,5878,4
81,2,6129,4
82,2,6418,4
83,2,6696,4
84,2,6985,4
85,2,6995,4
86,2,155472,4
87,2,7596,4
88,2,8239,4
89,2,8212,4
90,2,7452,4
91,2,8306,4
92,2,8515,4
93,2,8497,4
94,2,9134,4
95,2,10851,4
96,2,11700,4
97,2,9850,4
98,2,140826,4
99,2,9136,4
0,3,60,0
1,3,67,1
2,3,75,2
3,3,81,2
4,3,464,4
5,3,123,4
6,3,137,5
7,3,141,5
8,3,251,6
9,3,252,6
10,3,309,6
11,3,318,6
12,3,383,6
13,3,387,6
14,3,495,7
15,3,578,7
16,3,577,7
17,3,656,7
18,3,652,7
19,3,738,7
20,3,740,7
21,3,954,8
22,3,927,8
23,3,1090,8
24,3,1193,8
25,3,1449,8
26,3,1415,8
27,3,1642,8
28,3,1819,8
29,3,1965,8
30,3,2258,8
31,3,1953,8
32,3,2161,8
33,3,2170,8
34,3,2396,8
35,3,3039,8
36,3,3085,8
37,3,3489,9
38,3,3760,9
39,3,4062,9
40,3,3736,9
41,3,3756,9
42,3,4540,9
43,3,4567,9
44,3,4563,9
45,3,4527,9
46,3,5475,9
47,3,5496,9
48,3,56749,9
49,3,6044,9
50,3,6949,9
51,3,8108,9
52,3,8096,9
53,3,9140,9
54,3,9102,9
55,3,10127,9
56,3,9468,9
57,3,14057,9
58,3,12599,9
59,3,11121,9
60,3,11629,9
61,3,12266,9
62,3,14110,9
63,3,15512,9
64,3,18443,9
65,3,37619,9
66,3,13539,9
67,3,25162,9
68,3,26157,9
69,3,25745,9
70,3,27001,9
71,3,26135,9
72,3,25344,9
73,3,25806,9
74,3,28699,9
75,3,27142,9
76,3,23482,9
77,3,39310,9
78,3,27749,9
79,3,31247,9
80,3,30999,9
81,3,33504,9
82,3,33830,9
83,3,45842,9
84,3,42203,9
85,3,40423,9
86,3,42615,9
87,3,44826,9
88,3,47522,9
89,3,50998,9
90,3,50683,9
91,3,53273,9
92,3,51827,9
93,3,51877,9
94,3,58165,9
95,3,111727,9
96,3,58536,9
97,3,58501,9
98,3,57494,9
99,3,57373,9
0,4,60,0
1,4,68,1
2,4,76,2
3,4,82,2
4,4,118,4
5,4,131,7
6,4,179,7
7,4,187,7
8,4,275,9
9,4,335,9
10,4,366,9
11,4,471,9
12,4,551,9
13,4,551,9
14,4,875,10
15,4,1015,10
16,4,1006,10
17,4,1224,10
18,4,1351,10
19,4,1491,10
20,4,1490,10
21,4,1738,13
22,4,1892,13
23,4,2044,13
24,4,2255,13
25,4,2551,13
26,4,15522,13
27,4,3779,13
28,4,4099,13
29,4,4552,13
30,4,5092,13
31,4,4449,13
32,4,4921,13
33,4,4825,13
34,4,5153,13
35,4,5064,13
36,4,5870,13
37,4,5218,13
38,4,4750,13
39,4,5524,13
40,4,4736,13
41,4,6421,13
42,4,6567,13
43,4,6512,13
44,4,6781,13
45,4,7533,13
46,4,8300,13
47,4,8748,13
48,4,9033,13
49,4,15251,13
50,4,16068,13
51,4,13979,13
52,4,17615,13
53,4,16125,13
54,4,16967,13
55,4,15638,13
56,4,15972,13
57,4,15789,13
58,4,18193,13
59,4,19440,13
60,4,19884,13
61,4,19007,13
62,4,19559,13
63,4,24397,13
64,4,23210,13
65,4,28586,13
66,4,28301,13
67,4,33972,13
68,4,33769,13
69,4,35502,13
70,4,35333,13
71,4,35900,13
72,4,43263,13
73,4,38552,13
74,4,44388,13
75,4,45717,13
76,4,47051,13
77,4,52372,13
78,4,54225,13
79,4,62351,13
80,4,63400,13
81,4,77115,13
82,4,80047,13
83,4,83997,14
84,4,85897,14
85,4,87837,14
86,4,99283,15
87,4,112884,15
88,4,126054,15
89,4,127295,15
90,4,139879,15
91,4,129442,15
92,4,135730,15
93,4,128038,15
94,4,129215,15
95,4,129703,15
96,4,142990,15
97,4,140848,15
98,4,137233,15
99,4,135720,15
0,5,61,0
1,5,68,1
2,5,99,4
3,5,111,4
4,5,123,7
5,5,173,9
6,5,228,9
7,5,234,9
8,5,385,11
9,5,449,11
10,5,527,11
11,5,555,11
12,5,569,12
13,5,556,12
14,5,904,14
15,5,1040,14
16,5,1035,14
17,5,1703,14
18,5,1283,14
19,5,1387,14
20,5,1373,14
21,5,1718,16
22,5,1845,16
23,5,2048,16
24,5,2130,16
25,5,2623,16
26,5,2758,16
27,5,3064,16
28,5,3594,16
29,5,4458,16
30,5,4881,16
31,5,5802,16
32,5,6067,16
33,5,4799,16
34,5,5072,16
35,5,4501,16
36,5,4811,16
37,5,5794,16
38,5,6095,16
39,5,6670,16
40,5,6329,16
41,5,6302,16
42,5,8853,17
43,5,8468,17
44,5,8381,17
45,5,8388,17
46,5,9535,17
47,5,11197,17
48,5,11236,17
49,5,11938,17
50,5,13116,17
51,5,13700,17
52,5,15781,17
53,5,19073,18
54,5,21171,18
55,5,21888,18
56,5,23263,18
57,5,22981,18
58,5,23620,18
59,5,27010,18
60,5,26870,18
61,5,31657,18
62,5,55895,18
63,5,51935,19
64,5,46965,19
65,5,48966,19
66,5,48311,19
67,5,58869,20
68,5,63611,20
69,5,64723,20
70,5,62985,20
71,5,65536,20
72,5,65150,20
73,5,74803,20
74,5,83738,20
75,5,86921,20
76,5,87049,20
77,5,110111,20
78,5,115142,20
79,5,131608,20
80,5,135517,20
81,5,149761,20
82,5,152097,20
83,5,172848,21
84,5,174524,21
85,5,178817,21
86,5,207270,22
87,5,226147,22
88,5,274482,22
89,5,279835,22
90,5,341420,22
91,5,325357,22
92,5,289317,22
93,5,297718,22
94,5,290353,22
95,5,320338,22
96,5,303050,22
97,5,308898,22
98,5,309931,22
99,5,457196,22
0,6,64,0
1,6,64,1
2,6,95,4
3,6,107,4
4,6,118,8
5,6,131,11
6,6,261,11
7,6,430,11
8,6,670,14
9,6,800,14
10,6,780,14
11,6,888,15
12,6,663,15
13,6,644,15
14,6,881,18
15,6,1067,18
16,6,1047,18
17,6,1242,18
18,6,1362,18
19,6,1679,18
20,6,1687,18
21,6,2204,20
22,6,2272,20
23,6,2420,20
24,6,3590,20
25,6,3926,20
26,6,3430,20
27,6,3671,20
28,6,3987,20
29,6,4434,20
30,6,4353,20
31,6,4952,20
32,6,4674,20
33,6,4641,20
34,6,5644,20
35,6,5355,20
36,6,5661,20
37,6,6953,21
38,6,7271,21
39,6,6910,21
40,6,7131,21
41,6,7410,21
42,6,10140,24
43,6,9969,24
44,6,10187,24
45,6,10495,24
46,6,11636,24
47,6,12486,24
48,6,143646,24
49,6,13457,24
50,6,15685,24
51,6,15569,24
52,6,17927,24
53,6,25162,24
54,6,162863,24
55,6,33087,24
56,6,27685,24
57,6,29331,24
58,6,31721,24
59,6,171269,24
60,6,30672,24
61,6,36553,24
62,6,181115,25
63,6,60405,27
64,6,203952,27
65,6,66094,27
66,6,191522,27
67,6,89684,28
68,6,222458,28
69,6,310098,28
70,6,95896,28
71,6,300259,28
72,6,106728,28
73,6,259831,28
74,6,264212,28
75,6,256006,28
76,6,296296,28
77,6,425664,28
78,6,323470,28
79,6,529015,28
80,6,324885,28
81,6,639102,28
82,6,1136220,28
83,6,967096,30
84,6,1177056,30
85,6,669284,30
86,6,874274,32
87,6,1616687,32
88,6,1436735,32
89,6,1549799,32
90,6,653744,32
91,6,649422,32
92,6,626581,32
93,6,638460,32
94,6,638646,32
95,6,869704,32
96,6,743724,32
97,6,684542,32
98,6,822353,32
99,6,768200,32
0,7,71,0
