n,w,time,res
0,1,55,0
1,1,67,1
2,1,78,1
3,1,88,1
4,1,98,1
5,1,110,1
6,1,121,1
7,1,132,1
8,1,141,1
9,1,152,1
10,1,164,1
11,1,174,1
12,1,197,1
13,1,203,1
14,1,213,1
15,1,232,1
16,1,312,1
17,1,242,1
18,1,252,1
19,1,263,1
20,1,273,1
21,1,286,1
22,1,295,1
23,1,306,1
24,1,317,1
25,1,328,1
26,1,338,1
27,1,349,1
28,1,359,1
29,1,373,1
30,1,383,1
31,1,393,1
32,1,403,1
33,1,414,1
34,1,426,1
35,1,436,1
36,1,447,1
37,1,457,1
38,1,467,1
39,1,478,1
40,1,489,1
41,1,500,1
42,1,510,1
43,1,521,1
44,1,531,1
45,1,540,1
46,1,550,1
47,1,564,1
48,1,575,1
49,1,587,1
50,1,597,1
51,1,610,1
52,1,617,1
53,1,626,1
54,1,636,1
55,1,650,1
56,1,659,1
57,1,669,1
58,1,679,1
59,1,1075,1
60,1,697,1
61,1,724,1
62,1,735,1
63,1,747,1
64,1,757,1
65,1,768,1
66,1,779,1
67,1,791,1
68,1,802,1
69,1,812,1
70,1,823,1
71,1,834,1
72,1,848,1
73,1,857,1
74,1,1390,1
75,1,856,1
76,1,1130,1
77,1,1126,1
78,1,1034,1
79,1,955,1
80,1,1254,1
81,1,1194,1
82,1,1166,1
83,1,1214,1
84,1,1245,1
85,1,1283,1
86,1,1295,1
87,1,1324,1
88,1,1365,1
89,1,1424,1
90,1,1238,1
91,1,1343,1
92,1,1658,1
93,1,1073,1
94,1,1084,1
95,1,1095,1
96,1,1078,1
97,1,1089,1
98,1,1100,1
99,1,1110,1
0,2,57,0
1,2,78,1
2,2,95,1
3,2,110,1
4,2,130,3
5,2,145,3
6,2,165,4
7,2,182,4
8,2,201,4
9,2,218,4
10,2,237,4
11,2,264,4
12,2,279,4
13,2,295,4
14,2,316,4
15,2,335,4
16,2,351,4
17,2,369,4
18,2,387,4
19,2,404,4
20,2,429,4
21,2,439,4
22,2,456,4
23,2,482,4
24,2,503,4
25,2,521,4
26,2,536,4
27,2,557,4
28,2,577,4
29,2,602,4
30,2,618,4
31,2,635,4
32,2,657,4
33,2,669,4
34,2,688,4
35,2,703,4
36,2,720,4
37,2,1873,4
38,2,755,4
39,2,771,4
40,2,787,4
41,2,809,4
42,2,828,4
43,2,1038,4
