n,w,time,res
0,0,87,0
1,0,89,0
2,0,97,0
3,0,90,0
4,0,97,0
5,0,101,0
6,0,110,0
7,0,116,0
8,0,127,0
9,0,129,0
10,0,134,0
11,0,141,0
12,0,143,0
13,0,150,0
14,0,151,0
15,0,159,0
16,0,165,0
17,0,167,0
18,0,172,0
19,0,174,0
20,0,189,0
21,0,193,0
22,0,199,0
23,0,206,0
24,0,212,0
25,0,215,0
26,0,222,0
27,0,226,0
28,0,232,0
29,0,236,0
30,0,230,0
31,0,228,0
32,0,233,0
33,0,237,0
34,0,272,0
35,0,268,0
36,0,276,0
37,0,282,0
38,0,287,0
39,0,289,0
40,0,298,0
41,0,306,0
42,0,315,0
43,0,313,0
44,0,543,0
45,0,326,0
46,0,330,0
47,0,2529,0
48,0,1011,0
49,0,620,0
0,1,102,0
1,1,184,1
2,1,252,1
3,1,310,1
4,1,359,1
5,1,410,1
6,1,463,1
7,1,522,1
8,1,571,1
9,1,619,1
10,1,692,1
11,1,774,1
12,1,807,1
13,1,884,1
14,1,879,1
15,1,979,1
16,1,1028,1
17,1,1120,1
18,1,1601,1
19,1,1212,1
20,1,1324,1
21,1,1401,1
22,1,1466,1
23,1,1421,1
24,1,1424,1
25,1,1556,1
26,1,1698,1
27,1,1745,1
28,1,1817,1
29,1,1818,1
30,1,1851,1
31,1,1902,1
32,1,1923,1
33,1,1982,1
34,1,2161,1
35,1,2261,1
36,1,2225,1
37,1,2345,1
38,1,2472,1
39,1,2516,1
40,1,2305,1
41,1,2563,1
42,1,2593,1
43,1,2580,1
44,1,3224,1
45,1,2723,1
46,1,2659,1
47,1,2735,1
48,1,2710,1
49,1,2716,1
0,2,101,0
1,2,209,2
2,2,308,2
3,2,380,3
4,2,2979,3
5,2,591,3
6,2,734,3
7,2,834,3
8,2,994,3
9,2,1031,4
10,2,1168,4
11,2,1103,4
12,2,1180,4
13,2,1237,4
14,2,1365,4
15,2,1462,4
16,2,1601,4
17,2,1748,4
18,2,1863,4
19,2,1952,4
20,2,1990,4
21,2,2076,4
22,2,2335,4
23,2,2496,4
24,2,2592,4
25,2,2790,4
26,2,2862,4
27,2,2997,4
28,2,3086,4
29,2,3217,4
30,2,3325,4
31,2,4346,4
32,2,3506,4
33,2,3765,4
34,2,3702,4
35,2,3816,4
36,2,3889,4
37,2,2819,4
38,2,2426,4
39,2,2507,4
40,2,2586,4
41,2,2647,4
42,2,2709,4
43,2,2785,4
44,2,2898,4
45,2,4224,4
46,2,3040,4
47,2,5779,4
48,2,5101,4
49,2,5179,4
0,3,131,0
1,3,245,2
2,3,385,2
3,3,550,4
4,3,709,4
5,3,786,4
6,3,865,4
7,3,984,4
8,3,1171,7
9,3,1345,8
10,3,1428,8
11,3,1634,9
12,3,1791,9
13,3,1877,9
14,3,2087,9
15,3,2154,9
16,3,2378,9
17,3,2480,9
18,3,2688,9
19,3,2860,9
20,3,3002,9
21,3,3077,9
22,3,3040,9
23,3,3307,9
24,3,3443,9
25,3,3568,9
26,3,3717,9
27,3,3881,9
28,3,3986,9
29,3,4169,9
30,3,4268,9
31,3,4452,9
32,3,4558,9
33,3,4560,9
34,3,4851,9
35,3,5039,9
36,3,5134,9
37,3,5339,9
38,3,5451,9
39,3,5569,9
40,3,5624,9
41,3,5657,9
42,3,5999,9
43,3,6172,9
44,3,6261,9
45,3,6344,9
46,3,6290,9
47,3,6587,9
48,3,6421,9
49,3,4316,9
0,4,118,0
1,4,179,2
2,4,282,2
3,4,415,5
4,4,534,5
5,4,797,6
6,4,1109,6
7,4,1181,6
8,4,1376,7
9,4,1639,9
10,4,1810,9
11,4,2001,9
12,4,2091,9
13,4,2504,12
14,4,2476,12
15,4,2670,12
16,4,2881,14
17,4,3136,14
18,4,3045,14
19,4,3192,14
20,4,3285,14
21,4,3570,14
22,4,3722,14
23,4,3955,14
24,4,4072,14
25,4,3813,15
26,4,2903,16
27,4,3858,16
28,4,5010,16
29,4,5161,16
30,4,6358,16
31,4,3442,16
32,4,3541,16
33,4,3721,16
34,4,3711,16
35,4,3843,16
36,4,3900,16
37,4,4026,16
38,4,4198,16
39,4,4271,16
40,4,4498,16
41,4,4569,16
42,4,4641,16
43,4,4715,16
44,4,4859,16
45,4,5004,16
46,4,5103,16
47,4,5152,16
48,4,5281,16
49,4,5358,16
0,5,131,0
1,5,233,5
2,5,389,8
3,5,560,9
4,5,668,9
5,5,791,10
6,5,973,12
7,5,1149,13
8,5,1260,13
9,5,1344,13
10,5,1425,13
11,5,1514,13
12,5,1673,13
13,5,1811,13
14,5,1894,13
