n,w,time,res
0,25,188,0
1,25,593,2
2,25,1138,19
3,25,1772,36
4,25,2021,36
5,25,2653,49
6,25,3143,62
7,25,3695,62
8,25,4194,67
9,25,4623,67
10,25,5222,68
11,25,5804,90
12,25,6027,90
13,25,6377,90
14,25,7011,93
15,25,7236,93
16,25,7986,105
17,25,8628,105
18,25,10099,105
19,25,9362,105
20,25,9753,105
21,25,10449,108
22,25,10953,108
23,25,11701,111
24,25,12291,111
25,25,12728,111
26,25,13268,111
27,25,13640,111
28,25,14307,120
29,25,14983,120
30,25,15411,120
31,25,15763,120
32,25,16215,120
33,25,16877,126
34,25,19857,126
35,25,22451,126
36,25,22655,137
37,25,23675,146
38,25,24345,163
39,25,23959,163
40,25,24375,163
41,25,25226,170
42,25,26500,170
43,25,26525,170
44,25,26732,170
45,25,27353,170
46,25,32952,170
47,25,30281,170
48,25,28639,170
49,25,38297,170
