-1,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
0,56,171,282,396,511,619,1762,841,964,1072,1189,1304,1407,1523,1627,1756,1857,1961,2092,2873,3418
50,115,19536,123075,316932,303762,94221,501904,130491,397861,393489,421316,353921,577984,500184,523501,740244,791327,1067855,863010,961911,770286
100,156,34691,184892,285661,243916,358355,379767,496179,478402,347690,429354,422954,503932,526981,538216,572182,668704,655110,735511,714976,791035
150,202,50072,260494,449603,690079,544928,613341,970520,844216,758883,667906,686964,691034,743621,792700,923368,934628,992131,1091565,1154080,1154798
200,245,70453,162844,216819,296092,363748,483996,523774,610480,743348,766691,1056835,2005829,1992019,1463121,1237685,1339297,1483899,1550839,1539535,1797366
250,287,85701,322337,333734,447054,486253,596917,655253,778230,879242,1448697,2095178,2304258,1919855,1447687,2496029,4292669,2772382,1829769,4111037,2626534
300,635,114223,208103,456461,479001,612513,715852,858693,899851,1134612,1223289,1270896,1365258,1572306,1594657,2777868,3635381,2138480,2205979,2296960,2575088
350,374,178249,308849,543813,617860,836446,909041,1003349,1894739,2388825,2526242,1519113,1652629,1845643,1874643,2107688,2429828,2415628,4994507,2772145,2777472
400,415,137389,285718,479090,620314,806425,928366,1236162,1278505,1387055,1507329,2653653,3423561,2145383,2181960,2477393,2558665,2662568,3242855,5741970,3439725
450,876,195419,321749,523516,704427,863147,1088203,1165132,1387278,1543925,1742819,3396217,4060271,4864810,2505330,2846560,2808046,5567890,3475018,3357926,3503372
500,501,191853,365713,555761,812705,1025701,1171397,2560133,3031455,1878099,2041586,2518075,2590631,2778797,2728548,5409409,3285610,3371366,3499877,5303289,8251066
550,807,593409,873955,1190425,1758842,1148637,1338398,1563412,1650160,3086495,3766602,2479653,2639188,2800779,3098534,4450442,5459313,3647539,3849764,4147113,6883095
600,589,231129,472088,728976,944746,1214359,1396003,1597007,2047062,2181602,2293114,3919457,4288601,3019515,3322905,3533327,3784471,4236623,4677053,4430293,4617875
650,631,242347,519998,753021,977997,1240325,1535561,1833844,2103232,2278953,2555822,2796099,3432804,3841332,3599496,3782011,4069499,4354512,4637745,4946981,5691845
700,676,425700,680187,1073843,1133866,1332272,1655978,1908762,2180745,2465212,2693630,3078877,3282874,3547189,3808778,4047432,4587011,4617957,4884426,5194502,5467765
750,717,255256,606908,849484,1256929,1585248,1942747,2053362,2595883,2608430,2876273,3174316,3642020,4016687,4165011,4431771,4589061,5246584,5237194,5583445,6015299
800,760,272412,639873,1593221,1467228,1542197,2035014,2367688,2641729,3269876,3204368,3563850,3760449,4078603,4426307,5260672,5025699,6185374,5626918,6010347,6341940
850,1042,360445,617370,958478,1309587,3450018,3737934,2368897,2693414,2932745,3376389,3671899,4213563,4489532,4621373,5090837,5415439,5733427,6103318,6410465,7262153
900,847,343222,663817,1135430,1508671,1698025,2123355,2549322,2843880,3191959,3627250,3945876,4268350,4814831,5172069,5328141,5654673,6178827,6484400,7221579,7088676
950,889,344326,776766,1200122,1479639,1860097,2314564,2780136,4926937,3796572,4707969,4534928,4563979,6622593,10725088,13333938,15229904,16961875,19821759,19220276,15159508
1000,1867,475736,1436433,2631223,4328307,4406690,4936958,9897712,10835925,8400135,8615597,9859392,13036642,14370895,16243272,16066162,10277633,22817731,18133820,18982960,17100949
